Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
68,67,59,4,,,68,67,59,4
136,126,126,8,,,68,59,67,4
195,194,193,12,,,59,68,67,4
262,262,252,16,,,67,68,59,4
329,321,320,20,,,67,59,68,4
388,388,388,24,,,59,67,68,4
456,455,410,27,,,68,67,22,3
524,459,477,86,,,68,4,67,59
546,527,544,89,,,22,68,67,3
613,595,566,92,,,67,68,22,3
680,599,634,151,,,67,4,68,59
702,666,702,154,,,22,67,68,3
770,725,706,221,,,68,59,4,67
838,729,712,265,,,68,4,6,44
842,797,718,309,,,4,68,6,44
901,865,741,357,,,59,68,23,48
907,869,809,401,,,6,4,68,44
930,928,877,449,,,23,59,68,48
1000,987,900,458,,,70,59,23,9
1070,991,959,485,,,70,4,59,27
1074,1061,1018,512,,,4,70,59,27
1133,1131,1022,539,,,59,70,4,27
1192,1154,1092,548,,,59,23,70,9
1215,1213,1162,557,,,23,59,70,9
Starting Round 1,,,,,,,,,
86,86,28,21,,,86,86,28,21
172,114,114,42,,,86,28,86,21
200,200,200,63,,,28,86,86,21
286,286,228,84,,,86,86,28,21
372,314,314,105,,,86,28,86,21
400,400,400,126,,,28,86,86,21
486,486,480,129,,,86,86,80,3
572,507,566,157,,,86,21,86,28
593,593,652,185,,,21,86,86,28
679,679,673,213,,,86,86,21,28
765,759,759,216,,,86,80,86,3
786,845,845,244,,,21,86,86,28
872,898,866,327,,,86,53,21,83
958,919,919,410,,,86,21,53,83
1038,1005,972,435,,,80,86,53,25
1066,1091,993,521,,,28,86,21,86
1094,1112,1079,607,,,28,21,86,86
1115,1140,1165,693,,,21,28,86,86
1198,1143,1260,738,,,83,3,95,45
1281,1164,1263,783,,,83,21,3,45
1302,1247,1266,828,,,21,83,3,45
1305,1330,1361,873,,,3,83,95,45
1308,1425,1444,918,,,3,95,83,45
1329,1428,1527,963,,,21,3,83,45
Starting Round 2,,,,,,,,,
64,82,92,10,,,64,82,92,10
128,174,174,20,,,64,92,82,10
220,238,256,30,,,92,64,82,10
302,302,348,40,,,82,64,92,10
384,394,412,50,,,82,92,64,10
476,476,476,60,,,92,82,64,10
540,558,485,83,,,64,82,9,23
604,567,567,106,,,64,9,82,23
613,631,649,129,,,9,64,82,23
695,695,658,152,,,82,64,9,23
777,704,722,175,,,82,9,64,23
786,786,786,198,,,9,82,64,23
850,878,796,280,,,64,92,10,82
914,888,885,305,,,64,10,89,25
992,952,977,321,,,78,64,92,16
1084,1016,987,403,,,92,64,10,82
1173,1026,1051,428,,,89,10,64,25
1183,1118,1115,510,,,10,92,64,82
1265,1210,1125,574,,,82,92,10,64
1347,1220,1217,638,,,82,10,92,64
1357,1302,1309,702,,,10,82,92,64
1449,1384,1319,766,,,92,82,10,64
1541,1394,1401,830,,,92,10,82,64
1551,1486,1483,894,,,10,92,82,64
Starting Round 3,,,,,,,,,
88,57,73,60,,,88,57,73,60
176,130,130,120,,,88,73,57,60
249,218,187,180,,,73,88,57,60
306,306,260,240,,,57,88,73,60
363,379,348,300,,,57,73,88,60
436,436,436,360,,,73,57,88,60
524,493,496,433,,,88,57,60,73
612,553,553,506,,,88,60,57,73
672,641,610,579,,,60,88,57,73
729,729,670,652,,,57,88,60,73
786,789,758,725,,,57,60,88,73
846,846,846,798,,,60,57,88,73
934,871,926,829,,,88,25,80,31
1022,951,951,860,,,88,80,25,31
1102,1039,976,891,,,80,88,25,31
1175,1127,1036,948,,,73,88,60,57
1248,1207,1124,973,,,73,80,88,25
1308,1280,1212,1030,,,60,73,88,57
1365,1334,1272,1098,,,57,54,60,68
1422,1394,1326,1166,,,57,60,54,68
1482,1451,1380,1234,,,60,57,54,68
1536,1508,1440,1302,,,54,57,60,68
1590,1568,1497,1370,,,54,60,57,68
1650,1641,1554,1458,,,60,73,57,88
Starting Round 4,,,,,,,,,
81,85,54,20,,,81,85,54,20
162,139,139,40,,,81,54,85,20
216,220,224,60,,,54,81,85,20
301,301,278,80,,,85,81,54,20
386,355,359,100,,,85,54,81,20
440,440,440,120,,,54,85,81,20
521,525,516,127,,,81,85,76,7
602,545,601,181,,,81,20,85,54
622,626,686,235,,,20,81,85,54
707,707,706,289,,,85,81,20,54
792,727,787,343,,,85,20,81,54
812,812,868,397,,,20,85,81,54
893,872,944,472,,,81,60,76,75
974,892,1004,548,,,81,20,60,76
994,973,1058,633,,,20,81,54,85
1048,1054,1078,718,,,54,81,20,85
1102,1074,1159,803,,,54,20,81,85
1178,1134,1240,878,,,76,60,81,75
1254,1209,1260,910,,,76,75,20,32
1330,1229,1335,942,,,76,20,75,32
1350,1305,1410,974,,,20,76,75,32
1425,1381,1430,1006,,,75,76,20,32
1500,1401,1506,1038,,,75,20,76,32
1520,1476,1582,1070,,,20,75,76,32
Starting Round 5,,,,,,,,,
50,78,73,86,,,50,78,73,86
100,151,151,172,,,50,73,78,86
173,201,229,258,,,73,50,78,86
251,251,302,344,,,78,50,73,86
329,324,352,430,,,78,73,50,86
402,402,402,516,,,73,78,50,86
452,480,488,589,,,50,78,86,73
502,566,566,662,,,50,86,78,73
588,616,644,735,,,86,50,78,73
666,666,730,808,,,78,50,86,73
744,752,780,881,,,78,86,50,73
830,830,830,954,,,86,78,50,73
880,903,897,1014,,,50,73,67,60
930,970,917,1081,,,50,67,20,67
997,1020,937,1148,,,67,50,20,67
1070,1070,1004,1208,,,73,50,67,60
1143,1156,1054,1286,,,73,86,50,78
1229,1229,1104,1364,,,86,73,50,78
1313,1302,1171,1406,,,84,73,67,42
1397,1369,1244,1448,,,84,67,73,42
1464,1453,1317,1490,,,67,84,73,42
1537,1531,1403,1540,,,73,78,86,50
1610,1617,1481,1590,,,73,86,78,50
1696,1690,1559,1640,,,86,73,78,50
Starting Round 6,,,,,,,,,
49,64,66,5,,,49,64,66,5
98,130,130,10,,,49,66,64,5
164,179,194,15,,,66,49,64,5
228,228,260,20,,,64,49,66,5
292,294,309,25,,,64,66,49,5
358,358,358,30,,,66,64,49,5
407,422,363,96,,,49,64,5,66
456,494,427,115,,,49,72,64,19
461,543,491,181,,,5,49,64,66
525,592,563,200,,,64,49,72,19
589,664,612,219,,,64,72,49,19
661,728,661,238,,,72,64,49,19
710,794,666,302,,,49,66,5,64
759,799,764,304,,,49,5,98,2
764,848,862,306,,,5,49,98,2
862,897,867,308,,,98,49,5,2
960,969,916,332,,,98,72,49,24
965,1035,965,396,,,5,66,49,64
989,1101,1026,425,,,24,66,61,29
1013,1162,1092,454,,,24,61,66,29
1074,1186,1158,483,,,61,24,66,29
1140,1210,1219,512,,,66,24,61,29
1206,1271,1243,541,,,66,61,24,29
1267,1337,1267,570,,,61,66,24,29
Starting Round 7,,,,,,,,,
96,98,11,5,,,96,98,11,5
192,109,109,10,,,96,11,98,5
203,205,207,15,,,11,96,98,5
301,301,218,20,,,98,96,11,5
399,312,314,25,,,98,11,96,5
410,410,410,30,,,11,98,96,5
506,508,415,41,,,96,98,5,11
602,538,513,41,,,96,30,98,0
607,634,611,52,,,5,96,98,11
705,730,641,52,,,98,96,30,0
803,760,737,52,,,98,30,96,0
808,858,833,63,,,5,98,96,11
904,869,838,161,,,96,11,5,98
1000,899,932,222,,,96,30,94,61
1030,995,1026,283,,,30,96,94,61
1124,1091,1056,344,,,94,96,30,61
1218,1096,1152,412,,,94,5,96,68
1223,1107,1248,510,,,5,11,96,98
1318,1118,1253,513,,,95,11,5,3
1416,1148,1324,599,,,98,30,71,86
1446,1246,1395,685,,,30,98,71,86
1517,1344,1425,771,,,71,98,30,86
1588,1374,1523,857,,,71,30,98,86
1618,1445,1621,943,,,30,71,98,86
Starting Round 8,,,,,,,,,
85,83,61,67,,,85,83,61,67
170,144,144,134,,,85,61,83,67
231,229,227,201,,,61,85,83,67
314,314,288,268,,,83,85,61,67
397,375,373,335,,,83,61,85,67
458,458,458,402,,,61,83,85,67
543,541,525,463,,,85,83,67,61
628,590,608,496,,,85,49,83,33
