Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
762,770,636,446,,,762,770,636,446
1516,1499,1448,887,,,754,729,812,441
2181,2250,2194,1321,,,665,751,746,434
2936,3028,2981,1768,,,755,778,787,447
3670,3707,3755,2206,,,734,679,774,438
4359,4487,4559,2648,,,689,780,804,442
5129,5197,5260,3152,,,770,710,701,504
5873,5860,5986,3452,,,744,663,726,300
6590,6596,6708,3913,,,717,736,722,461
7319,7347,7455,4280,,,729,751,747,367
8106,8020,8177,4643,,,787,673,722,363
8762,8825,8913,5094,,,656,805,736,451
9533,9588,9562,5509,,,771,763,649,415
10155,10308,10348,5948,,,622,720,786,439
10872,11034,11083,6440,,,717,726,735,492
11642,11770,11767,6661,,,770,736,684,221
12299,12533,12527,7124,,,657,763,760,463
13029,13243,13247,7744,,,730,710,720,620
13773,13948,14014,8199,,,744,705,767,455
14514,14642,14747,8612,,,741,694,733,413
15274,15458,15454,8885,,,760,816,707,273
16014,16212,16245,9197,,,740,754,791,312
16695,16994,16961,9509,,,681,782,716,312
17396,17643,17763,9945,,,701,649,802,436
Starting Round 1,,,,,,,,,
815,728,836,560,,,815,728,836,560
1638,1584,1533,1102,,,823,856,697,542
2447,2413,2224,1600,,,809,829,691,498
3132,3269,3029,2228,,,685,856,805,628
3795,4110,3834,2762,,,663,841,805,534
4534,4802,4689,3204,,,739,692,855,442
5327,5543,5481,3600,,,793,741,792,396
6152,6363,6235,4106,,,825,820,754,506
6943,7254,6897,4546,,,791,891,662,440
7648,8086,7776,5037,,,705,832,879,491
8345,8943,8564,5578,,,697,857,788,541
9152,9682,9360,6094,,,807,739,796,516
10015,10498,10142,6436,,,863,816,782,342
10844,11352,10887,7049,,,829,854,745,613
11668,12203,11727,7570,,,824,851,840,521
12484,13091,12471,7969,,,816,888,744,399
13242,13875,13304,8339,,,758,784,833,370
14045,14674,14182,8805,,,803,799,878,466
14764,15471,15020,9343,,,719,797,838,538
15456,16287,15825,9847,,,692,816,805,504
16290,17025,16633,10430,,,834,738,808,583
17077,17743,17398,10963,,,787,718,765,533
17869,18514,18082,11422,,,792,771,684,459
18663,19262,18753,12081,,,794,748,671,659
Starting Round 2,,,,,,,,,
780,807,774,485,,,780,807,774,485
1599,1628,1551,896,,,819,821,777,411
2395,2482,2322,1432,,,796,854,771,536
3205,3301,3106,1926,,,810,819,784,494
3988,4097,3954,2516,,,783,796,848,590
4733,4918,4802,3000,,,745,821,848,484
5522,5676,5585,3523,,,789,758,783,523
6310,6390,6356,4113,,,788,714,771,590
7049,7210,7095,4576,,,739,820,739,463
7794,8019,7837,5010,,,745,809,742,434
8583,8770,8657,5556,,,789,751,820,546
9294,9587,9414,6027,,,711,817,757,471
10015,10358,10204,6465,,,721,771,790,438
10804,11055,11001,7042,,,789,697,797,577
11578,11811,11766,7566,,,774,756,765,524
12319,12611,12567,8043,,,741,800,801,477
13028,13401,13404,8467,,,709,790,837,424
13767,14169,14186,8988,,,739,768,782,521
14505,14971,14930,9402,,,738,802,744,414
15299,15707,15712,9830,,,794,736,782,428
16075,16478,16458,10267,,,776,771,746,437
16857,17240,17105,10840,,,782,762,647,573
17646,17952,17894,11269,,,789,712,789,429
18378,18731,18712,11723,,,732,779,818,454
Starting Round 3,,,,,,,,,
784,816,717,408,,,784,816,717,408
1558,1575,1555,822,,,774,759,838,414
2242,2331,2395,1412,,,684,756,840,590
3053,3139,3119,1697,,,811,808,724,285
3835,3898,3956,2191,,,782,759,837,494
4594,4686,4756,2572,,,759,788,800,381
5388,5475,5383,3037,,,794,789,627,465
6157,6156,6214,3550,,,769,681,831,513
6854,6961,7088,3787,,,697,805,874,237
7668,7709,7857,4258,,,814,748,769,471
8511,8466,8707,4561,,,843,757,850,303
9222,9266,9554,4943,,,711,800,847,382
10034,9954,10158,5431,,,812,688,604,488
10793,10651,10839,5947,,,759,697,681,516
11493,11467,11562,6488,,,700,816,723,541
12183,12233,12265,6872,,,690,766,703,384
12856,12972,13042,7408,,,673,739,777,536
13522,13665,13899,8061,,,666,693,857,653
14359,14365,14563,8634,,,837,700,664,573
15213,15006,15292,9194,,,854,641,729,560
15811,15870,16031,9752,,,598,864,739,558
16447,16751,16714,10235,,,636,881,683,483
17160,17390,17556,10728,,,713,639,842,493
17844,18116,18435,11177,,,684,726,879,449
Starting Round 4,,,,,,,,,
775,785,740,359,,,775,785,740,359
1567,1571,1517,769,,,792,786,777,410
2316,2351,2284,1257,,,749,780,767,488
3113,3079,3132,1597,,,797,728,848,340
3881,3839,3925,2060,,,768,760,793,463
4630,4565,4730,2385,,,749,726,805,325
5432,5345,5511,2749,,,802,780,781,364
6251,6085,6353,3223,,,819,740,842,474
6927,6930,7086,3743,,,676,845,733,520
7653,7789,7919,4210,,,726,859,833,467
8444,8513,8751,4536,,,791,724,832,326
9168,9308,9602,4876,,,724,795,851,340
9959,10061,10355,5327,,,791,753,753,451
10754,10762,11128,5726,,,795,701,773,399
11487,11583,11931,6230,,,733,821,803,504
12232,12391,12618,6618,,,745,808,687,388
12984,13048,13460,6964,,,752,657,842,346
13712,13807,14312,7401,,,728,759,852,437
14458,14557,15078,7819,,,746,750,766,418
15174,15284,15782,8291,,,716,727,704,472
15893,16052,16609,8899,,,719,768,827,608
16689,16879,17342,9159,,,796,827,733,260
17379,17546,18119,9648,,,690,667,777,489
18010,18283,18911,10175,,,631,737,792,527
Starting Round 5,,,,,,,,,
782,826,814,443,,,782,826,814,443
1564,1657,1563,845,,,782,831,749,402
2372,2363,2360,1213,,,808,706,797,368
3170,3097,3160,1573,,,798,734,800,360
4002,3955,3940,1979,,,832,858,780,406
4766,4788,4705,2386,,,764,833,765,407
5523,5574,5403,3083,,,757,786,698,697
6230,6204,6213,3436,,,707,630,810,353
6888,6962,7015,4000,,,658,758,802,564
7663,7664,7631,4536,,,775,702,616,536
8410,8308,8400,5048,,,747,644,769,512
9072,9072,9142,5522,,,662,764,742,474
9772,9906,9782,5883,,,700,834,640,361
10460,10552,10649,6400,,,688,646,867,517
11111,11279,11406,6864,,,651,727,757,464
11874,11985,12105,7238,,,763,706,699,374
