Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
2346,2426,2348,1509,,,389,401,421,217
2756,2816,2731,1730,,,410,390,383,221
3161,3206,3127,1962,,,405,390,396,232
3529,3636,3523,2167,,,368,430,396,205
3895,4039,3887,2514,,,366,403,364,347
4302,4399,4272,2774,,,407,360,385,260
4663,4788,4693,2944,,,361,389,421,170
5066,5189,5003,3209,,,403,401,310,265
5472,5516,5378,3443,,,406,327,375,234
5869,5919,5791,3742,,,397,403,413,299
6218,6313,6147,4030,,,349,394,356,288
6559,6678,6587,4263,,,341,365,440,233
6866,7076,6976,4604,,,307,398,389,341
7277,7489,7281,4764,,,411,413,305,160
7688,7825,7668,4899,,,411,336,387,135
8013,8213,8061,5223,,,325,388,393,324
8403,8590,8397,5379,,,390,377,336,156
8814,8951,8826,5612,,,411,361,429,233
9203,9354,9186,5843,,,389,403,360,231
Starting Round 7,,,,,,,,,
401,426,292,206,,,401,426,292,206
779,716,671,459,,,378,290,379,253
1058,1094,1084,637,,,279,378,413,178
1437,1485,1353,851,,,379,391,269,214
1816,1790,1763,1148,,,379,305,410,297
2090,2171,2171,1314,,,274,381,408,166
2500,2521,2470,1515,,,410,350,299,201
2887,2774,2857,1648,,,387,253,387,133
3134,3193,3283,1855,,,247,419,426,207
3487,3580,3584,2069,,,353,387,301,214
3853,3873,3956,2198,,,366,293,372,129
4125,4278,4301,2409,,,272,405,345,211
4511,4564,4604,2686,,,386,286,303,277
4868,4865,4903,2957,,,357,301,299,271
5131,5288,5227,3294,,,263,423,324,337
5442,5663,5530,3513,,,311,375,303,219
5757,5958,5907,3760,,,315,295,377,247
6050,6221,6321,4058,,,293,263,414,298
6401,6567,6624,4367,,,351,346,303,309
6757,6827,6978,4633,,,356,260,354,266
7058,7243,7278,4907,,,301,416,300,274
7369,7596,7575,5145,,,311,353,297,238
7652,7893,7917,5378,,,283,297,342,233
7951,8211,8322,5611,,,299,318,405,233
Starting Round 8,,,,,,,,,
403,289,407,279,,,403,289,407,279
779,681,650,590,,,376,392,243,311
1159,1057,1004,781,,,380,376,354,191
1501,1451,1417,1032,,,342,394,413,251
1824,1858,1758,1340,,,323,407,341,308
2214,2216,2161,1630,,,390,358,403,290
2617,2524,2513,1780,,,403,308,352,150
3019,2897,2831,2019,,,402,373,318,239
3390,3298,3189,2360,,,371,401,358,341
3694,3701,3541,2534,,,304,403,352,174
4010,4078,3910,2750,,,316,377,369,216
4341,4413,4313,3038,,,331,335,403,288
4716,4809,4609,3163,,,375,396,296,125
5109,5202,4977,3259,,,393,393,368,96
5486,5568,5354,3411,,,377,366,377,152
5837,5961,5778,3556,,,351,393,424,145
6259,6315,6181,3706,,,422,354,403,150
6658,6704,6565,3870,,,399,389,384,164
6955,7109,6875,4019,,,297,405,310,149
7285,7495,7282,4235,,,330,386,407,216
7614,7855,7674,4500,,,329,360,392,265
7974,8183,8034,4743,,,360,328,360,243
8331,8501,8354,5035,,,357,318,320,292
8660,8857,8683,5364,,,329,356,329,329
Starting Round 9,,,,,,,,,
362,318,387,195,,,362,318,387,195
724,682,719,396,,,362,364,332,201
1063,1037,1081,533,,,339,355,362,137
1390,1458,1438,685,,,327,421,357,152
1716,1831,1801,889,,,326,373,363,204
2103,2163,2163,1064,,,387,332,362,175
2480,2491,2499,1294,,,377,328,336,230
2855,2843,2832,1492,,,375,352,333,198
3172,3220,3166,1711,,,317,377,334,219
3499,3578,3502,2020,,,327,358,336,309
3794,3891,3831,2194,,,295,313,329,174
4095,4218,4218,2473,,,301,327,387,279
4514,4529,4555,2566,,,419,311,337,93
4880,4868,4862,2643,,,366,339,307,77
5179,5256,5169,2817,,,299,388,307,174
5522,5653,5493,2978,,,343,397,324,161
5845,5966,5914,3130,,,323,313,421,152
6136,6261,6364,3287,,,291,295,450,157
6491,6628,6690,3399,,,355,367,326,112
6896,6906,7029,3593,,,405,278,339,194
7224,7280,7377,3715,,,328,374,348,122
7591,7633,7722,3910,,,367,353,345,195
7941,7956,8106,4131,,,350,323,384,221
8265,8314,8511,4203,,,324,358,405,72
Starting Round 10,,,,,,,,,
411,397,371,190,,,411,397,371,190
792,770,799,390,,,381,373,428,200
1202,1179,1091,514,,,410,409,292,124
1573,1616,1501,708,,,371,437,410,194
1970,2008,1901,937,,,397,392,400,229
2380,2386,2301,1175,,,410,378,400,238
2817,2720,2657,1414,,,437,334,356,239
3218,2996,3085,1673,,,401,276,428,259
3485,3397,3513,1969,,,267,401,428,296
3822,3799,3832,2099,,,337,402,319,130
4176,4143,4257,2318,,,354,344,425,219
4484,4516,4679,2585,,,308,373,422,267
4845,4926,5024,2876,,,361,410,345,291
5282,5246,5392,3152,,,437,320,368,276
5599,5677,5802,3465,,,317,431,410,313
6002,6114,6065,3713,,,403,437,263,248
6389,6399,6385,3946,,,387,285,320,233
6733,6785,6822,4235,,,344,386,437,289
7122,7140,7173,4442,,,389,355,351,207
7471,7440,7556,4654,,,349,300,383,212
7784,7836,7905,4936,,,313,396,349,282
8120,8225,8207,5209,,,336,389,302,273
8495,8524,8574,5438,,,375,299,367,229
8786,8848,8921,5680,,,291,324,347,242
Starting Round 11,,,,,,,,,
299,450,331,367,,,299,450,331,367
644,803,791,666,,,345,353,460,299
984,1101,1258,887,,,340,298,467,221
1435,1398,1589,1183,,,451,297,331,296
1886,1734,1971,1467,,,451,336,382,284
2222,2192,2353,1694,,,336,458,382,227
2559,2636,2682,1867,,,337,444,329,173
2855,3046,3114,1985,,,296,410,432,118
3227,3385,3555,2210,,,372,339,441,225
3656,3754,3974,2401,,,429,369,419,191
4086,4179,4304,2591,,,430,425,330,190
4462,4623,4673,2791,,,376,444,369,200
4845,4986,5086,3121,,,383,363,413,330
5171,5365,5341,3330,,,326,379,255,209
5584,5691,5672,3559,,,413,326,331,229
5907,6056,6067,3820,,,323,365,395,261
6240,6476,6351,4019,,,333,420,284,199
6640,6785,6650,4180,,,400,309,299,161
7062,7119,7095,4347,,,422,334,445,167
7487,7533,7458,4495,,,425,414,363,148
7900,7986,7788,4719,,,413,453,330,224
8221,8446,8143,4906,,,321,460,355,187
8539,8882,8579,5079,,,318,436,436,173
8975,9210,9028,5218,,,436,328,449,139
Starting Round 12,,,,,,,,,
386,458,324,272,,,386,458,324,272
794,841,782,637,,,408,383,458,365
1154,1266,1223,821,,,360,425,441,184
1581,1684,1580,1103,,,427,418,357,282
2012,2074,2006,1432,,,431,390,426,329
2336,2543,2421,1736,,,324,469,415,304
2762,3008,2807,1888,,,426,465,386,152
3163,3414,3265,2124,,,401,406,458,236
3574,3822,3706,2364,,,411,408,441,240
4032,4229,4084,2642,,,458,407,378,278
4435,4647,4458,2958,,,403,418,374,316
4797,5105,4887,3100,,,362,458,429,142
5191,5466,5266,3324,,,394,361,379,224
5599,5833,5572,3650,,,408,367,306,326
5953,6228,5965,3834,,,354,395,393,184
6341,6654,6326,4228,,,388,426,361,394
6702,7059,6718,4449,,,361,405,392,221
7050,7452,7127,4775,,,348,393,409,326
7505,7847,7459,5019,,,455,395,332,244
7960,8244,7806,5258,,,455,397,347,239
8337,8698,8148,5501,,,377,454,342,243
8661,9152,8603,5871,,,324,454,455,370
8974,9579,9043,6175,,,313,427,440,304
9387,9924,9469,6502,,,413,345,426,327
Starting Round 13,,,,,,,,,
434,403,400,287,,,434,403,400,287
868,831,754,543,,,434,428,354,256
1283,1236,1178,854,,,415,405,424,311
1697,1685,1578,1076,,,414,449,400,222
2088,2113,2039,1327,,,391,428,461,251
2493,2502,2485,1641,,,405,389,446,314
2912,2891,2892,2002,,,419,389,407,361
3331,3240,3315,2304,,,419,349,423,302
3693,3654,3699,2620,,,362,414,384,316
4073,4040,4081,2988,,,380,386,382,368
4497,4383,4548,3253,,,424,343,467,265
4834,4763,4982,3548,,,337,380,434,295
5243,5156,5392,3749,,,409,393,410,201
5659,5505,5821,4016,,,416,349,429,267
6000,5964,6249,4282,,,341,459,428,266
6428,6353,6659,4456,,,428,389,410,174
6804,6757,7072,4748,,,376,404,413,292
7151,7186,7488,4925,,,347,429,416,177
7538,7585,7870,5211,,,387,399,382,286
7976,7962,8264,5493,,,438,377,394,282
8356,8352,8686,5775,,,380,390,422,282
8802,8774,9003,6036,,,446,422,317,261
9248,9156,9441,6235,,,446,382,438,199
9599,9581,9885,6394,,,351,425,444,159
Starting Round 14,,,,,,,,,
354,396,368,281,,,354,396,368,281
718,761,795,631,,,364,365,427,350
1096,1135,1224,840,,,378,374,429,209
1523,1516,1652,1129,,,427,381,428,289
1943,1941,2024,1282,,,420,425,372,153
2368,2337,2405,1432,,,425,396,381,150
2759,2743,2694,1650,,,391,406,289,218
3127,3138,3145,1959,,,368,395,451,309
3474,3531,3550,2215,,,347,393,405,256
3894,3924,3900,2458,,,420,393,350,243
4314,4295,4247,2779,,,420,371,347,321
4605,4746,4597,3081,,,291,451,350,302
4982,5149,4929,3407,,,377,403,332,326
5347,5407,5355,3543,,,365,258,426,136
5646,5795,5752,3904,,,299,388,397,361
6073,6158,6078,4194,,,427,363,326,290
