graph1:
Average actual winnings with 95% confidence interval:
KthBestPickWithUct,2.764705882352941,0.340979632197058
EvilPixie,0.8235294117647058,0.2672569706305794
Killbot,2.411764705882353,0.3015332445649313

Average actual winnings with 95% confidence interval:
Quo,1.9019607843137254,0.22130598349663078
EvilPixie,1.9607843137254901,0.2260601152385205
Killbot,2.1372549019607843,0.11005070307459469

graph2:
Average actual winnings with 95% confidence interval:
KthBestPickWithUct,3.196078431372549,0.3683000966179364
EvilPixie,1.2745098039215685,0.306006410237592
Quo,1.5294117647058822,0.27087984287014866

graph3:

Average fantasy winnings with 95% confidence interval:
KthBestPickWithUct,2.4046606233587045,0.019472804096355906
RandomDrafter,1.012152722563321,0.023537705582533992
UCT_Drafter2,2.5831866540779753,0.022215022489219464


Average actual winnings with 95% confidence interval:
KthBestPickWithUct,1.9019607843137254,0.3439124733297749
RandomDrafter,1.3137254901960784,0.2929872342195294
UCT_Drafter2,2.784313725490196,0.3612549019607843
