Greedy, UCT, KthBestPick, Random
18826, 18980, 19837, 12368
19879, 20177, 20990, 12928
21000, 21361, 21954, 13591
22165, 22354, 23156, 14208
23228, 23542, 24297, 14848
24382, 24688, 25365, 15414
25559, 25744, 26513, 16010
26662, 26933, 27604, 16767
Starting Round 9
1154, 1139, 1151, 757
2272, 2289, 2263, 1496
3328, 3405, 3292, 2091
4381, 4530, 4457, 2890
5375, 5688, 5610, 3594
6493, 6785, 6807, 4375
7573, 7830, 7941, 4994
8616, 8929, 9080, 5828
9709, 9986, 10192, 6422
10773, 11033, 11383, 7134
11811, 12112, 12524, 7861
12915, 13177, 13630, 8487
14049, 14255, 14710, 9215
15118, 15415, 15826, 9880
16227, 16530, 16884, 10527
17319, 17629, 18077, 11229
18394, 18744, 19248, 11860
19545, 19800, 20427, 12304
20699, 20863, 21671, 12912
21810, 22027, 22810, 13674
22980, 23101, 23989, 14447
24092, 24187, 25111, 15162
25213, 25316, 26314, 15815
26365, 26412, 27506, 16528
Starting Round 10
1240, 1221, 1192, 696
2453, 2474, 2398, 1597
3669, 3711, 3570, 2434
4891, 4935, 4766, 3090
6077, 6191, 5963, 3908
7288, 7384, 7171, 4725
8484, 8509, 8400, 5451
9727, 9649, 9584, 6342
10835, 10860, 10799, 7225
11946, 12084, 12000, 8197
13086, 13239, 13166, 8850
14301, 14367, 14411, 9649
15486, 15524, 15626, 10363
16658, 16750, 16800, 10989
17867, 17956, 17998, 11758
19066, 19161, 19254, 12538
20249, 20389, 20462, 13214
21513, 21580, 21555, 13809
22643, 22731, 22770, 14649
23800, 23926, 23900, 15226
25000, 25064, 25024, 15816
26172, 26230, 26276, 16584
27371, 27491, 27424, 17538
28591, 28698, 28577, 18161
Starting Round 11
1240, 1042, 1152, 901
2481, 2268, 2264, 1498
3694, 3493, 3381, 2264
4783, 4765, 4527, 3129
5862, 5932, 5802, 3783
6992, 7029, 7110, 4265
8195, 8085, 8351, 5103
9428, 9246, 9447, 5949
10686, 10455, 10451, 6490
11752, 11717, 11621, 7372
12819, 12848, 12893, 8142
13965, 13875, 14117, 8853
15242, 14985, 15367, 9516
16553, 16196, 16556, 10172
17729, 17509, 17764, 10796
18852, 18793, 18999, 11403
20008, 19918, 20223, 12026
21130, 21073, 21482, 12595
22169, 22202, 22606, 13396
23241, 23338, 23777, 14085
24499, 24393, 24893, 14863
25555, 25461, 26143, 15657
26639, 26636, 27270, 16563
