Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
2040,2104,2091,1144,,,218,246,258,72
2298,2335,2282,1322,,,258,231,191,178
2556,2552,2518,1458,,,258,217,236,136
2773,2829,2728,1579,,,217,277,210,121
3009,3033,2939,1753,,,236,204,211,174
3245,3187,3114,1905,,,236,154,175,152
3435,3418,3367,2143,,,190,231,253,238
3599,3649,3545,2292,,,164,231,178,149
3852,3874,3781,2513,,,253,225,236,221
4055,4078,4017,2702,,,203,204,236,189
4332,4310,4232,2829,,,277,232,215,127
4577,4535,4425,2934,,,245,225,193,105
4767,4812,4691,3102,,,190,277,266,168
5000,5063,4917,3210,,,233,251,226,108
5214,5254,5153,3406,,,214,191,236,196
5439,5448,5370,3594,,,225,194,217,188
Starting Round 7,,,,,,,,,
260,203,189,214,,,260,203,189,214
520,415,338,434,,,260,212,149,220
717,673,464,617,,,197,258,126,183
920,933,691,790,,,203,260,227,173
1086,1160,951,961,,,166,227,260,171
1313,1363,1211,1134,,,227,203,260,173
1571,1566,1407,1299,,,258,203,196,165
1804,1799,1583,1397,,,233,233,176,98
2035,2057,1759,1566,,,231,258,176,169
2202,2310,1973,1756,,,167,253,214,190
2381,2506,2233,1867,,,179,196,260,111
2595,2703,2493,2021,,,214,197,260,154
2846,2945,2726,2119,,,251,242,233,98
3082,3188,2983,2185,,,236,243,257,66
3315,3446,3210,2332,,,233,258,227,147
3557,3704,3441,2433,,,242,258,231,101
3814,3899,3701,2463,,,257,195,260,30
4034,4141,3961,2577,,,220,242,260,114
4183,4369,4115,2702,,,149,228,154,125
4386,4584,4343,2828,,,203,215,228,126
4619,4787,4571,2988,,,233,203,228,160
4809,4990,4804,3181,,,190,203,233,193
5037,5155,4970,3282,,,228,165,166,101
5233,5368,5173,3481,,,196,213,203,199
Starting Round 8,,,,,,,,,
281,254,213,141,,,281,254,213,141
566,459,420,256,,,285,205,207,115
828,744,623,458,,,262,285,203,202
1017,1033,885,656,,,189,289,262,198
1271,1259,1170,856,,,254,226,285,200
1533,1466,1455,982,,,262,207,285,126
1818,1628,1674,1117,,,285,162,219,135
2103,1863,1877,1306,,,285,235,203,189
2355,2148,2131,1449,,,252,285,254,143
2544,2437,2335,1655,,,189,289,204,206
2747,2641,2620,1848,,,203,204,285,193
2982,2895,2905,2046,,,235,254,285,198
3267,3148,3107,2198,,,285,253,202,152
3543,3368,3381,2360,,,276,220,274,162
3714,3653,3655,2410,,,171,285,274,50
3976,3937,3875,2599,,,262,284,220,189
4186,4165,4160,2704,,,210,228,285,105
4357,4439,4445,2754,,,171,274,285,50
4547,4701,4634,2911,,,190,262,189,157
4747,4870,4868,3050,,,200,169,234,139
4955,5124,5130,3324,,,208,254,262,274
5217,5375,5358,3598,,,262,251,228,274
5422,5595,5612,3849,,,205,220,254,251
5630,5808,5815,4024,,,208,213,203,175
Starting Round 9,,,,,,,,,
233,216,290,120,,,233,216,290,120
466,504,484,230,,,233,288,194,110
756,684,700,317,,,290,180,216,87
948,889,990,468,,,192,205,290,151
1135,1175,1223,627,,,187,286,233,159
1348,1377,1456,814,,,213,202,233,187
1553,1564,1663,1016,,,205,187,207,202
1748,1767,1879,1295,,,195,203,216,279
1995,1972,2095,1407,,,247,205,216,112
2185,2196,2342,1519,,,190,224,247,112
2377,2432,2541,1669,,,192,236,199,150
2624,2624,2765,1867,,,247,192,224,198
2848,2866,2935,1954,,,224,242,170,87
3072,3074,3146,2110,,,224,208,211,156
3263,3298,3432,2268,,,191,224,286,158
3551,3522,3664,2348,,,288,224,232,80
3792,3724,3888,2501,,,241,202,224,153
3983,3964,4112,2637,,,191,240,224,136
4199,4194,4320,2686,,,216,230,208,49
4415,4430,4610,2743,,,216,236,290,57
4623,4646,4900,2863,,,208,216,290,120
4836,4838,5125,2922,,,213,192,225,59
5118,5032,5308,3027,,,282,194,183,105
5295,5320,5487,3192,,,177,288,179,165
Starting Round 10,,,,,,,,,
253,257,226,157,,,253,257,226,157
487,437,473,301,,,234,180,247,144
680,668,683,463,,,193,231,210,162
939,882,918,694,,,259,214,235,231
1159,1116,1178,838,,,220,234,260,144
1381,1336,1438,996,,,222,220,260,158
1576,1606,1679,1154,,,195,270,241,158
1829,1818,1927,1238,,,253,212,248,84
2055,2071,2186,1450,,,226,253,259,212
2325,2321,2362,1608,,,270,250,176,158
2584,2603,2615,1781,,,259,282,253,173
2797,2873,2868,1958,,,213,270,253,177
3021,3106,3150,2141,,,224,233,282,183
3238,3373,3387,2270,,,217,267,237,129
3464,3597,3609,2479,,,226,224,222,209
3711,3847,3821,2711,,,247,250,212,232
3948,4129,4074,2905,,,237,282,253,194
4174,4364,4281,3089,,,226,235,207,184
4404,4594,4493,3241,,,230,230,212,152
4636,4807,4727,3377,,,232,213,234,136
4862,5029,4961,3512,,,226,222,234,135
5088,5286,5136,3707,,,226,257,175,195
5310,5512,5344,3787,,,222,226,208,80
5592,5734,5603,4004,,,282,222,259,217
Starting Round 11,,,,,,,,,
205,261,233,163,,,205,261,233,163
410,507,500,310,,,205,246,267,147
602,746,782,459,,,192,239,282,149
863,985,1042,608,,,261,239,260,149
1145,1171,1257,766,,,282,186,215,158
1388,1453,1496,840,,,243,282,239,74
1593,1714,1638,1051,,,205,261,142,211
1832,1866,1847,1231,,,239,152,209,180
1981,2105,2129,1423,,,149,239,282,192
2252,2344,2268,1593,,,271,239,139,170
2523,2530,2487,1772,,,271,186,219,179
2695,2812,2692,1864,,,172,282,205,92
2901,3068,2865,2079,,,206,256,173,215
3140,3230,3134,2279,,,239,162,269,200
3311,3469,3394,2455,,,171,239,260,176
3561,3684,3608,2597,,,250,215,214,142
3817,3874,3787,2734,,,256,190,179,137
3934,4130,3992,2885,,,117,256,205,151
4205,4363,4178,3030,,,271,233,186,145
4476,4507,4432,3180,,,271,144,254,150
4634,4778,4692,3294,,,158,271,260,114
4854,5060,4850,3408,,,220,282,158,114
5097,5183,5117,3572,,,243,123,267,164
5283,5369,5394,3730,,,186,186,277,158
Starting Round 12,,,,,,,,,
163,273,159,184,,,163,273,159,184
339,429,420,351,,,176,156,261,167
532,584,693,500,,,193,155,273,149
793,763,849,610,,,261,179,156,110
1066,981,994,748,,,273,218,145,138
1225,1254,1170,938,,,159,273,176,190
1401,1527,1405,1004,,,176,273,235,66
1577,1742,1666,1096,,,176,215,261,92
1770,1918,1939,1229,,,193,176,273,133
2043,2097,2154,1304,,,273,179,215,75
2316,2341,2330,1373,,,273,244,176,69
2553,2614,2506,1454,,,237,273,176,81
2729,2832,2725,1669,,,176,218,219,215
2892,3065,2940,1824,,,163,233,215,155
3132,3241,3173,2015,,,240,176,233,191
3291,3417,3406,2246,,,159,176,233,231
3506,3634,3582,2357,,,215,217,176,111
3680,3776,3758,2486,,,174,142,176,129
3948,3941,3983,2536,,,268,165,225,50
4207,4153,4161,2660,,,259,212,178,124
4407,4426,4320,2812,,,200,273,159,152
4566,4699,4520,2964,,,159,273,200,152
4722,4892,4793,3095,,,156,193,273,131
4944,5069,5040,3179,,,222,177,247,84
Starting Round 13,,,,,,,,,
240,243,234,141,,,240,243,234,141
476,477,480,282,,,236,234,246,141
711,713,726,394,,,235,236,246,112
949,949,1000,485,,,238,236,274,91
1187,1152,1240,640,,,238,203,240,155
1461,1395,1480,779,,,274,243,240,139
1694,1627,1669,925,,,233,232,189,146
1915,1816,1896,1099,,,221,189,227,174
2104,2049,2123,1203,,,189,233,227,104
