Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
556,603,529,292,,,556,603,529,292
1136,1147,1085,540,,,580,544,556,248
1642,1753,1742,906,,,506,606,657,366
2255,2310,2357,1242,,,613,557,615,336
2912,2854,2880,1568,,,657,544,523,326
3451,3472,3514,1846,,,539,618,634,278
3980,4066,4080,2221,,,529,594,566,375
4533,4650,4732,2606,,,553,584,652,385
4992,5156,5394,2840,,,459,506,662,234
5614,5644,5954,3192,,,622,488,560,352
6230,6173,6483,3633,,,616,529,529,441
6776,6742,7059,4005,,,546,569,576,372
7344,7289,7639,4304,,,568,547,580,299
7865,7910,8145,4612,,,521,621,506,308
8439,8456,8724,5117,,,574,546,579,505
8961,9051,9301,5511,,,522,595,577,394
9559,9618,9875,5799,,,598,567,574,288
10136,10157,10464,6170,,,577,539,589,371
10736,10736,11084,6444,,,600,579,620,274
11297,11312,11679,6666,,,561,576,595,222
11848,11951,12230,6967,,,551,639,551,301
12433,12505,12830,7175,,,585,554,600,208
12968,13114,13386,7596,,,535,609,556,421
13516,13713,13928,7874,,,548,599,542,278
Starting Round 1,,,,,,,,,
624,666,630,389,,,624,666,630,389
1202,1233,1339,808,,,578,567,709,419
1733,1847,1999,1170,,,531,614,660,362
2406,2439,2639,1462,,,673,592,640,292
3107,3043,3250,1902,,,701,604,611,440
3651,3722,3867,2330,,,544,679,617,428
4221,4359,4468,2682,,,570,637,601,352
4802,4880,5140,3197,,,581,521,672,515
5370,5441,5793,3577,,,568,561,653,380
6041,6019,6389,3849,,,671,578,596,272
6670,6631,6951,4302,,,629,612,562,453
7264,7285,7550,4609,,,594,654,599,307
7849,7915,8145,5184,,,585,630,595,575
8426,8437,8758,5787,,,577,522,613,603
8897,9028,9374,6218,,,471,591,616,431
9455,9595,9932,6691,,,558,567,558,473
10048,10144,10488,7140,,,593,549,556,449
10611,10770,11116,7674,,,563,626,628,534
11282,11371,11768,7929,,,671,601,652,255
11926,11974,12392,8216,,,644,603,624,287
12498,12575,13026,8557,,,572,601,634,341
13102,13201,13649,8943,,,604,626,623,386
13684,13734,14348,9377,,,582,533,699,434
14248,14336,15047,9719,,,564,602,699,342
Starting Round 2,,,,,,,,,
629,595,625,420,,,629,595,625,420
1268,1187,1282,897,,,639,592,657,477
1829,1874,1913,1279,,,561,687,631,382
2456,2521,2536,1665,,,627,647,623,386
3078,3107,3166,1966,,,622,586,630,301
3631,3729,3836,2241,,,553,622,670,275
4246,4284,4403,2570,,,615,555,567,329
4851,4859,4953,2846,,,605,575,550,276
5408,5513,5491,3250,,,557,654,538,404
5959,6153,6130,3527,,,551,640,639,277
6540,6736,6816,3922,,,581,583,686,395
7122,7304,7496,4274,,,582,568,680,352
7804,7884,8139,4620,,,682,580,643,346
8387,8489,8679,4907,,,583,605,540,287
8944,9123,9370,5378,,,557,634,691,471
9535,9741,9978,5777,,,591,618,608,399
10149,10268,10615,6109,,,614,527,637,332
10646,10898,11274,6428,,,497,630,659,319
11226,11472,11867,6833,,,580,574,593,405
11813,12085,12456,7115,,,587,613,589,282
12387,12609,13157,7611,,,574,524,701,496
12992,13252,13754,7943,,,605,643,597,332
13592,13870,14382,8267,,,600,618,628,324
14181,14390,14887,8553,,,589,520,505,286
Starting Round 3,,,,,,,,,
620,597,533,439,,,620,597,533,439
1281,1129,1192,847,,,661,532,659,408
1805,1814,1805,1298,,,524,685,613,451
2398,2452,2356,1676,,,593,638,551,378
2968,2972,3020,2063,,,570,520,664,387
3482,3566,3637,2477,,,514,594,617,414
4082,4178,4211,2711,,,600,612,574,234
4709,4761,4775,3064,,,627,583,564,353
5297,5339,5340,3434,,,588,578,565,370
5905,5971,5963,3816,,,608,632,623,382
6525,6558,6626,4232,,,620,587,663,416
7124,7159,7305,4578,,,599,601,679,346
7775,7698,7960,4931,,,651,539,655,353
8419,8224,8501,5244,,,644,526,541,313
8934,8864,9100,5591,,,515,640,599,347
9460,9486,9661,5899,,,526,622,561,308
10053,10011,10300,6235,,,593,525,639,336
10594,10585,10917,6679,,,541,574,617,444
11214,11170,11572,7058,,,620,585,655,379
11845,11744,12138,7415,,,631,574,566,357
12436,12316,12710,7705,,,591,572,572,290
12995,12939,13316,8114,,,559,623,606,409
13569,13555,14006,8460,,,574,616,690,346
14160,14121,14668,8780,,,591,566,662,320
Starting Round 4,,,,,,,,,
586,579,649,542,,,586,579,649,542
1169,1224,1278,1060,,,583,645,629,518
1776,1820,1849,1476,,,607,596,571,416
2293,2393,2390,1935,,,517,573,541,459
2860,2983,2983,2324,,,567,590,593,389
3433,3530,3580,2810,,,573,547,597,486
4029,4103,4258,3204,,,596,573,678,394
4626,4724,4850,3654,,,597,621,592,450
5212,5323,5459,4075,,,586,599,609,421
5786,5911,6094,4459,,,574,588,635,384
6388,6527,6689,4780,,,602,616,595,321
6978,7156,7274,5169,,,590,629,585,389
7567,7742,7883,5540,,,589,586,609,371
8138,8409,8495,5927,,,571,667,612,387
8779,8995,9134,6270,,,641,586,639,343
9392,9581,9806,6676,,,613,586,672,406
10001,10180,10401,7066,,,609,599,595,390
10686,10781,11008,7549,,,685,601,607,483
11283,11431,11634,7995,,,597,650,626,446
11884,12074,12292,8343,,,601,643,658,348
12487,12657,12917,8664,,,603,583,625,321
13088,13267,13574,9073,,,601,610,657,409
13745,13979,14143,9487,,,657,712,569,414
14372,14619,14757,9845,,,627,640,614,358
Starting Round 5,,,,,,,,,
573,674,574,391,,,573,674,574,391
1161,1310,1263,895,,,588,636,689,504
1756,1929,1911,1322,,,595,619,648,427
2439,2523,2561,1720,,,683,594,650,398
3128,3143,3168,2148,,,689,620,607,428
3709,3815,3811,2532,,,581,672,643,384
4335,4465,4376,3032,,,626,650,565,500
4942,4971,5075,3544,,,607,506,699,512
5477,5592,5732,3945,,,535,621,657,401
6111,6216,6228,4347,,,634,624,496,402
6787,6780,6831,4666,,,676,564,603,319
7315,7469,7462,5080,,,528,689,631,414
7917,8135,7960,5542,,,602,666,498,462
8496,8702,8578,6037,,,579,567,618,495
9044,9303,9244,6488,,,548,601,666,451
9644,9843,9842,6976,,,600,540,598,488
10234,10341,10452,7537,,,590,498,610,561
10776,10969,11019,7953,,,542,628,567,416
11443,11566,11601,8340,,,667,597,582,387
12109,12138,12216,8753,,,666,572,615,413
12649,12793,12905,8974,,,540,655,689,221
13288,13468,13526,9406,,,639,675,621,432
13911,13960,14212,9903,,,623,492,686,497
14406,14616,14880,10326,,,495,656,668,423
Starting Round 6,,,,,,,,,
715,681,588,388,,,715,681,588,388
1384,1302,1290,728,,,669,621,702,340
1990,2014,1970,1133,,,606,712,680,405
2670,2688,2570,1427,,,680,674,600,294
3338,3285,3269,1656,,,668,597,699,229
3931,3962,4012,2021,,,593,677,743,365
4664,4662,4568,2424,,,733,700,556,403
5412,5223,5235,2756,,,748,561,667,332
6031,5969,5943,3127,,,619,746,708,371
6731,6717,6492,3485,,,700,748,549,358
7420,7255,7237,3953,,,689,538,745,468
8034,7921,7973,4322,,,614,666,736,369
8743,8479,8516,4635,,,709,558,543,313
9473,8956,9128,5123,,,730,477,612,488
9990,9669,9734,5585,,,517,713,606,462
10585,10377,10307,5892,,,595,708,573,307
11170,10883,11004,6270,,,585,506,697,378
11705,11467,11730,6696,,,535,584,726,426
12413,12022,12260,7234,,,708,555,530,538
13053,12590,12881,7675,,,640,568,621,441
13635,13281,13512,8158,,,582,691,631,483
14244,13958,14044,8604,,,609,677,532,446
14837,14513,14724,9172,,,593,555,680,568
15418,15104,15369,9626,,,581,591,645,454
Starting Round 7,,,,,,,,,
564,619,652,595,,,564,619,652,595
1146,1286,1202,1020,,,582,667,550,425
1785,1877,1806,1302,,,639,591,604,282
2393,2430,2422,1776,,,608,553,616,474
2988,3076,3041,2209,,,595,646,619,433
3600,3702,3622,2679,,,612,626,581,470
4187,4288,4245,3219,,,587,586,623,540
4774,4917,4860,3721,,,587,629,615,502
5371,5510,5511,4191,,,597,593,651,470
5950,6057,6187,4690,,,579,547,676,499
6512,6664,6835,5169,,,562,607,648,479
7085,7280,7443,5639,,,573,616,608,470
7698,7910,8108,5929,,,613,630,665,290
8291,8522,8745,6358,,,593,612,637,429
8934,9124,9400,6640,,,643,602,655,282
9615,9702,10015,6987,,,681,578,615,347
10277,10322,10608,7361,,,662,620,593,374
10921,10994,11154,7668,,,644,672,546,307
11528,11676,11822,8019,,,607,682,668,351
12105,12249,12469,8296,,,577,573,647,277
12736,12841,13086,8678,,,631,592,617,382
13409,13408,13748,9027,,,673,567,662,349
14032,14074,14246,9468,,,623,666,498,441
14637,14698,14824,9779,,,605,624,578,311
Starting Round 8,,,,,,,,,
640,700,537,328,,,640,700,537,328
1239,1240,1257,728,,,599,540,720,400
1741,1834,1979,1003,,,502,594,722,275
2461,2424,2518,1422,,,720,590,539,419
3112,2957,3176,1781,,,651,533,658,359
3604,3648,3821,2238,,,492,691,645,457
4223,4351,4409,2536,,,619,703,588,298
4860,4950,5048,2909,,,637,599,639,373
5483,5584,5790,3134,,,623,634,742,225
6193,6178,6397,3410,,,710,594,607,276
6828,6818,7021,3687,,,635,640,624,277
7384,7522,7677,4018,,,556,704,656,331
